Date Purchased,Quantity,Card,Player,Year,Set,Variation,Number,Category,Condition,Investment,Current Value,Potential Profit,Ladder ID,Slab Serial #,Population,Notes
12/18/2021,1,2021 Contenders Tom Brady Winning Ticket #WTTBR PSA 8,Tom Brady,2021,Contenders,Winning Ticket,WTTBR,Football,PSA 8,400,321.25,-78.75,,66082410,2,
01/18/2021,1,2021 CSG  Panini Prestige Xtra Points Sunburst # Patrick Mahomes II CSG 10,Panini Prestige,2021,CSG,Xtra Points Sunburst, Patrick Mahomes II,Football,CSG 10,250,1262.29,1012.29,,1027959002,1,
10/14/2017,1,2010 Topps Chrome Tom Brady Refractor #C80 CSG 9,Tom Brady,2010,Topps Chrome,Refractor,C80,Football,CSG 9,223,2239.86,2016.86,,1002558004,1,
07/20/2020,1,2020 Panini Mosaic Tom Brady Pink Camo #135 CSG 10,Tom Brady,2020,Panini Mosaic,Pink Camo,135,Football,CSG 10,1000,4366.44,3366.44,,1004114007,1,
11/16/2022,1,2022 Parkside NWSL Ifeoma Omumonu Signature Series Autographs #SS-IO PSA 6/Auto 10,Ifeoma Omumonu,2022,Parkside NWSL,Signature Series Autographs,SS-IO,Soccer,PSA 6/Auto 10,400,4300.21,3900.21,,72388607,1,
06/18/2020,1,2018 Panini Hoops Kobe Bryant Silver Prizm 042/199 #296 CSG 10,Kobe Bryant,2018,Panini Hoops,Silver Prizm 042/199,296,Basketball,CSG 10,1000,3348.09,2348.09,,1004115003,1,
09/18/2021,1,2021 Panini Prizm Draft Picks Trevor Lawrence Green Prizm #161  CSG 9.5,Trevor Lawrence,2021,Panini Prizm Draft Picks,Green Prizm,161 ,Football,CSG 9.5,224,29.12,-194.88,,1027959026,,
10/18/2021,1,2021 Panini Prizm Draft Picks  Trevor Lawrence Green Prizm # 106  CSG 9.5,Trevor Lawrence,2021,Panini Prizm Draft Picks ,Green Prizm, 106 ,Football,CSG 9.5,25,465.76,440.76,,1027959006,3,
02/18/2020,1,2019 Panini Hoops Premium Stock Luka Doncic NBA City Red Prizm #30 CSG 10,Luka Doncic,2019,Panini Hoops Premium Stock,NBA City Red Prizm,30,Basketball,CSG 10,345,2425.44,2080.44,,1005614003,1,
12/18/2020,1,2019 Topps Match Attax Champions UEFA Champions League Cristiano Ronaldo Golden Squad Limited Edition #LE12 CSG 9,Cristiano Ronaldo,2019,Topps Match Attax Champions UEFA Champions League,Golden Squad Limited Edition,LE12,Soccer,CSG 9,1000,3178.34,2178.34,,1005610003,1,
07/11/2020,1,2018 Panini Dmd.Kings Walker Buehler Dk Rookie Materials Sig. PSA 9,Walker Buehler,2018,Panini Dmd.Kings,Dk Rookie Materials Sig.,,Baseball,PSA 9,350,64.15,-285.85,,63357147,1,
